keys,zh_Hans
ui.menu.craft_aide,按配方制作（基础路线） — 请选择材料。
ui.menu.craft_titre,{nom} — {competence} {niveau} 级 · 工作台：{station}
ui.menu.craft_manque,— 无材料 —
ui.menu.fabriquer,制作
ui.menu.craft_qualite,预期品质：{palier}
ui.qualite.miserable,劣质
ui.qualite.pauvre,较差
ui.qualite.correct,普通
ui.qualite.bon,良好
ui.qualite.excellent,优秀
ui.qualite.chef_oeuvre,杰作
ui.qualite.legendaire,传说
ui.qualite.mythique,神话
ui.station.etabli,工作台
ui.station.forge,锻炉
ui.station.aucune,无
ui.toast.craft_reussi,物品制作完成
race.humain.name,人类
race.elfe.name,精灵
race.nain.name,矮人
race.sylvide.name,林灵
race.cendreux.name,灰烬裔
race.echomorphe.name,回响体
class.guerrier.name,战士
class.mage.name,法师
class.artisan.name,工匠
class.chasseur.name,猎人
class.marchand.name,商人
class.vagabond.name,游荡者
ui.menu.creation_perso,角色创建
ui.menu.race,种族
ui.menu.classe,职业
ui.menu.points_restants,可分配点数：{restants} / {total}
ui.menu.commencer,开始冒险
ui.menu.perso_competences,初始技能：{competences}
ui.menu.perso_or,初始金币：{or}
category.lingot.name,锭
ui.menu.transformations,冶炼 / 加工
ui.menu.transformer,冶炼
material.lingot_aluminium.name,铝锭
transformation.fonte_aluminium.name,冶炼铝
material.lingot_antimoine.name,锑锭
transformation.fonte_antimoine.name,冶炼锑
material.lingot_argent.name,银锭
transformation.fonte_argent.name,冶炼银
material.lingot_bismuth.name,铋锭
transformation.fonte_bismuth.name,冶炼铋
material.lingot_chrome.name,铬锭
transformation.fonte_chrome.name,冶炼铬
material.lingot_cobalt.name,钴锭
transformation.fonte_cobalt.name,冶炼钴
material.lingot_cuivre.name,铜锭
transformation.fonte_cuivre.name,冶炼铜
material.lingot_etain.name,锡锭
transformation.fonte_etain.name,冶炼锡
material.lingot_fer.name,铁锭
transformation.fonte_fer.name,冶炼铁
material.lingot_manganese.name,锰锭
transformation.fonte_manganese.name,冶炼锰
material.lingot_nickel.name,镍锭
transformation.fonte_nickel.name,冶炼镍
material.lingot_or.name,金锭
transformation.fonte_or.name,冶炼黄金
material.lingot_platine.name,铂锭
transformation.fonte_platine.name,冶炼铂
material.lingot_plomb.name,铅锭
transformation.fonte_plomb.name,冶炼铅
material.lingot_titane.name,钛锭
transformation.fonte_titane.name,冶炼钛
material.lingot_tungstene.name,钨锭
transformation.fonte_tungstene.name,冶炼钨
material.lingot_zinc.name,锌锭
transformation.fonte_zinc.name,冶炼锌
ui.menu.transform_aucune,没有可冶炼的原矿。
ui.menu.transform_ligne,{n_in}× {entree}（拥有：{possede}） → {n_out}× {sortie}
biome.desert_froid.name,寒漠
biome.foret_pluviale_temperee.name,温带雨林
biome.lande.name,荒原
material.etabli.name,工作台
material.four.name,熔炉
ui.menu.craft_station,工作台：{station}（{etat}）
ui.menu.station_dispo,可用
ui.menu.station_absente,此地块中没有
ui.menu.craft_competence,技能：{competence}（{niveau} 级）
ui.menu.craft_resultat,结果：{nom} — 品质 约 {palier}
transformation.fab_etabli.name,制作工作台
transformation.fab_four.name,制作熔炉
ui.menu.stats_composant,部件
ui.menu.stats_produit,成品
material.scierie.name,锯木厂
material.tailleur.name,切石机
material.metier_tisser.name,织布机
material.alambic.name,蒸馏器
material.enclume.name,铁砧
material.planches.name,木板
material.poutre.name,横梁
material.manche.name,手柄
material.pierre_taillee.name,切制石
material.dalle.name,石台阶
material.brique_pierre.name,石砖
material.charbon.name,木炭
material.fil.name,线
material.tissu.name,布料
material.corde.name,绳索
material.torche.name,火把
category.construction.name,建材
category.textile.name,织物
category.planches.name,木板
category.station.name,工作台
ui.station.scierie,锯木厂
ui.station.tailleur,切石机
ui.station.tissage,织布机
ui.station.alambic,蒸馏器
ui.station.enclume,铁砧
transformation.fab_scierie.name,制作锯木厂
transformation.fab_tailleur.name,制作切石机
transformation.fab_metier_tisser.name,制作织布机
transformation.fab_alambic.name,制作蒸馏器
transformation.fab_enclume.name,制作铁砧
transformation.alliage_acier.name,锻造钢
transformation.alliage_bronze.name,锻造青铜
transformation.alliage_laiton.name,锻造黄铜
transformation.charbon_de_bois.name,木炭
transformation.fonte_verre.name,熔制玻璃
transformation.cuisson_brique.name,烧制砖块
transformation.debit_planches.name,切割木板
transformation.taille_poutre.name,切制横梁
transformation.taille_manche.name,切制手柄
transformation.taille_pierre.name,切割石头
transformation.taille_dalle.name,切制石台阶
transformation.taille_brique_pierre.name,切制石砖
transformation.filage.name,纺线
transformation.tissage_tissu.name,织布
transformation.tressage_corde.name,编绳
transformation.extraction_huile.name,提取油
transformation.fab_torche.name,制作火把
item.dague.name,匕首
functionality.dague.name,匕首
item.masse.name,钉头锤
functionality.masse.name,钝器
item.lance.name,长枪
functionality.lance.name,长枪
item.hache_arme.name,战斧
functionality.hache_arme.name,战斧
item.arc.name,弓
functionality.arc.name,弓
item.arbalete.name,弩
functionality.arbalete.name,弩
item.baton_magique.name,法杖
functionality.baton_magique.name,法杖
item.faucille.name,镰刀
item.seau.name,水桶
skill.dague.name,匕首
skill.masse.name,钝器
skill.lance.name,长枪
skill.hache_arme.name,战斧
skill.arc.name,弓
skill.arbalete.name,弩
skill.baton_magique.name,法杖
functionality.recolte_herboristerie.name,采药工具
functionality.recolte_collecte.name,采集工具
ui.menu.craft_a_la_main,徒手制作（物品栏）
ui.menu.voyage_en_cours,旅行中...
ui.toast.mange,吃下了 {item}（饥饿 +{faim}）
ui.toast.pas_comestible,手中没有可食用的东西
ui.toast.rassasie,你并不饿
item.casque.name,头盔
item.cuirasse.name,胸甲
item.jambieres.name,护腿
item.bottes.name,靴子
item.gants.name,护手
ui.toast.equipe,已装备 {item}
ui.toast.desequipe,已卸下 {item}
ui.toast.pas_equipable,该物品无法装备
ui.equipement.titre,装备
ui.equipement.vide,（空）
ui.equipement.protection,防护：{des}
ui.slot.tete,头部
ui.slot.torse,躯干
ui.slot.jambes,腿部
ui.slot.pieds,脚部
ui.slot.mains,手部
ui.slot.anneau_1,戒指 1
ui.slot.anneau_2,戒指 2
ui.slot.amulette,护符
ui.slot.arme_1,武器 1
ui.slot.arme_2,武器 2
ui.slot.accessoire_1,饰品 1
ui.slot.accessoire_2,饰品 2
ui.slot.dos,背部
ui.toast.mort,你死了 — 遗落了 {or} 金币和 {objets} 件物品
ui.toast.ramasse,已找回：{objets} 件物品和 {or} 金币
creature.villageois.name,村民
creature.fermier.name,农夫
creature.forgeron.name,铁匠
creature.marchand_ambulant.name,行商
creature.garde_village.name,村庄卫兵
creature.pretre_sanctuaire.name,圣祠祭司
creature.erudit.name,学者
creature.tavernier.name,客栈老板
creature.chasseur.name,猎人
creature.nomade.name,游牧者
creature.maitre_guilde.name,公会长
creature.souverain.name,君主
creature.bandit.name,强盗
creature.chef_de_bande.name,匪首
creature.braconnier.name,偷猎者
creature.pillard.name,劫掠者
creature.deserteur.name,逃兵
creature.ermite.name,隐士
creature.loup.name,狼
creature.cerf.name,鹿
creature.renard.name,狐狸
creature.essaim_abeilles.name,蜂群
creature.scorpion.name,蝎子
creature.vautour.name,秃鹫
creature.chameau_sauvage.name,野骆驼
creature.ours_polaire.name,北极熊
creature.loup_blanc.name,白狼
creature.renne.name,驯鹿
creature.morse.name,海象
creature.crocodile.name,鳄鱼
creature.nuee_moustiques.name,蚊群
creature.serpent_venimeux.name,毒蛇
creature.aigle.name,鹰
creature.ours_brun.name,棕熊
creature.bouquetin.name,野山羊
creature.lynx.name,猞猁
material.viande.name,肉
material.peau.name,兽皮
ui.toast.depecage,已剥取 {creature}：{portions} 份肉
ui.type.viande,肉
ui.type.peau,兽皮
ui.type.armure,护甲
ui.type.ressource,资源
ui.menu.hotbar,快捷栏
ui.menu.hotbar_aide,将物品拖到格子 · 右键清空 · 游戏中按 Ctrl+1-9 切换组
ui.menu.hotbar_vide,空格子
ui.menu.hotbar_badge,[{banque}-{slot}]
ui.menu.action.infos,更多信息
ui.menu.action.equiper,装备
ui.menu.action.hotbar,放入快捷栏
ui.menu.action.banque,第 {banque} 组
ui.menu.action.slot,第 {slot} 格
ui.menu.action.retirer_hotbar,移出快捷栏
ui.menu.action.deposer,丢在地上
ui.menu.detail.nutrition,营养：{faim}（生食：{cru}）
ui.menu.detail.potentiel,{stat} 潜力：+{valeur}
ui.menu.detail.emplacement,装备部位：{slot}
ui.toast.depose,已丢在地上
material.lit.name,床
transformation.fab_lit.name,制作床
ui.toast.pas_de_lit,请对准床铺再睡觉
ui.toast.pas_la_nuit,只能在夜间睡觉
ui.toast.reveil,你在黎明醒来，精神饱满
plat.viande_grillee.name,烤肉
plat.ragout.name,炖菜
plat.pain.name,面包
plat.soupe_de_legumes.name,蔬菜汤
skill.cuisine.name,烹饪
material.fourneau.name,炉灶
transformation.fab_fourneau.name,制作炉灶
ui.toast.potentiel,潜力提升：{details}
ui.carte.heure,{heure} — {phase}
ui.phase.aube,黎明
ui.phase.jour,白天
ui.phase.crepuscule,黄昏
ui.phase.nuit,夜晚
ui.donjon.tour,你踏入了高塔……
ui.toast.incassable,该方块无法破坏
ui.menu.supprimer,删除
ui.menu.supprimer_confirme,永久删除“{monde}”？此操作无法撤销。
ui.menu.nb_mondes,已保存的世界：{nb}
material.chair_noire.name,黑肉
material.os_calcine.name,焦骨
material.basalte_maudit.name,诅咒玄武岩
material.scorie_ardente.name,炽热熔渣
material.croute_demoniaque.name,恶魔外壳
item.epee_courte.name,短剑
functionality.epee_courte.name,短剑
item.espadon.name,巨剑
functionality.espadon.name,巨剑
item.rapiere.name,刺剑
functionality.rapiere.name,刺剑
item.hachette.name,手斧
functionality.hachette.name,手斧
item.hache_double.name,双刃斧
functionality.hache_double.name,双刃斧
item.hallebarde.name,戟
functionality.hallebarde.name,戟
item.trident.name,三叉戟
functionality.trident.name,三叉戟
item.faux_de_guerre.name,战镰
functionality.faux_de_guerre.name,战镰
item.marteau_guerre.name,战锤
functionality.marteau_guerre.name,战锤
item.masse_ailettes.name,锐棱锤
functionality.masse_ailettes.name,锐棱锤
item.gourdin.name,木棒
functionality.gourdin.name,木棒
item.pioche_combat.name,战镐
functionality.pioche_combat.name,战镐
item.baton_ferre.name,铁头长棍
functionality.baton_ferre.name,铁头长棍
ui.combat.coup_glissant,滑击 — 距离太近，用柄部打中了
ui.combat.chambering,完美格挡 — 兵刃相击
ui.menu.craft_gemme,宝石（镶嵌）
ui.menu.gemme_aucune,无
ui.menu.gemme_sans,无宝石：此武器无法附魔。
ui.menu.gemme_effet,已镶嵌：魔力传导 {mana} · +{poids} kg。不影响伤害。
ui.menu.section_etat,状态
ui.menu.section_attributs,属性
ui.gauge.vie,生命
ui.gauge.mana,魔力
ui.gauge.faim,饥饿
ui.gauge.fatigue,疲劳
ui.gauge.endurance,耐力
ui.hud.bloc_systeme,系统
ui.hud.bloc_lieu,位置
ui.hud.bloc_cible,目标
ui.hud.bloc_modules,模块
ui.hud.cle.fps,帧率
ui.hud.cle.chunks,区块
ui.hud.cle.meshing,网格化
ui.hud.cle.position,坐标
ui.hud.cle.biome,生物群系
ui.hud.cle.temperature,气温
ui.hud.cle.fertilite,肥沃度
ui.hud.cle.cellule,地块
ui.hud.cle.grille,网格
ui.hud.cle.materiau,方块
ui.hud.cle.outil,工具
ui.hud.cle.creature,生物
ui.hud.cle.module_j,J 键
ui.hud.cle.module_k,K 键
ui.hud.cle.module_l,L 键
ui.hud.chunks_valeur,{meshes} · 缓存 {cache} · 队列 {file}
ui.hud.meshing_valeur,{moyen} 毫秒 · 最大 {max} 毫秒
ui.hud.grille_valeur,{res} 像素
ui.hud.module_valeur,{nom}（{cout} 魔力）
ui.hud.cible_rebond_valeur,{materiau} — 工具被弹开了！
ui.hud.aide_bascule,{touche}：隐藏此帮助
skill.baton_ferre.name,铁头长棍
skill.epee_courte.name,短剑
skill.espadon.name,巨剑
skill.faux_de_guerre.name,战镰
skill.gourdin.name,木棒
skill.hache_double.name,双刃斧
skill.hachette.name,手斧
skill.hallebarde.name,戟
skill.marteau_guerre.name,战锤
skill.masse_ailettes.name,锐棱锤
skill.pioche_combat.name,战镐
skill.rapiere.name,刺剑
skill.trident.name,三叉戟
skill.tranchant.name,劈砍
skill.percant.name,穿刺
skill.contondant.name,钝击
skill.dual_wielding.name,双持
skill.bouclier.name,盾牌
skill.deux_mains.name,双手武器
skill.magie_offensive.name,攻击魔法
skill.magie_defensive.name,防御魔法
skill.discretion.name,潜行
skill.athletisme.name,运动
skill.lecture.name,阅读
skill.negociation.name,议价
skill.leadership.name,领导
skill.dressage.name,驯兽
skill.agriculture.name,农业
skill.elevage.name,畜牧
skill.navigation.name,航海
skill.alchimie.name,炼金术
skill.couture.name,裁缝
item.rondache.name,圆盾
functionality.rondache.name,圆盾
item.ecu.name,鸢形盾
functionality.ecu.name,鸢形盾
item.pavois.name,塔盾
functionality.pavois.name,塔盾
ui.toast.collection_don,已加入收藏 — 物品被销毁。
ui.menu.onglet.collection,收藏
ui.menu.touches,按键
ui.menu.touches_aide,点击某个按键即可重新分配。
ui.menu.touches_appuyez,请按下新按键（Esc 取消）。
ui.menu.touches_attente,...
ui.menu.touches_defaut,恢复默认按键
ui.menu.touches_cat_deplacement,移动
ui.menu.touches_cat_monde,世界
ui.menu.touches_cat_modules,模块
ui.menu.touches_cat_interface,界面
ui.collection.progression,{offerts} / {total} 件（{pct}%）
ui.collection.page,第 {page} / {pages} 页
ui.collection.manquant,缺失
ui.collection.offrir,捐赠（销毁物品）
ui.collection.deja_mieux,已收藏更高品质的版本
